Id;Fecha;Tmax;HTmax;Tmin;HTmin;Tmed;Racha;HRacha;Vmax;HVmax;TPrec;Prec1;Prec2;Prec3;Prec4
0201X;2013-05-29;22.5;17:00;12.5;07:10;17.5;43;17:10;18;16:20;0;0;0;0;0
0201X;2013-05-30;19.8;17:50;12.2;06:00;16;26;14:10;15;14:10;0;0;0;0;0
0201X;2013-05-31;20.8;16:30;14.5;08:00;17.6;23;09:50;11;14:30;0;0;0;0;0
0201X;2013-06-01;30.2;17:30;16.3;02:00;23.3;31;14:50;17;14:50;0;0;0;0;0
0201X;2013-06-02;23.5;11:00;16.8;06:40;20.1;26;16:30;12;16:30;0;0;0;0;0
0201X;2013-06-03;;;;;;;;;;;;0;0;0
0201X;2013-06-04;;;;;;;;;;;;0;;0
0201X;2013-06-05;;;;;;;;;;;0;;0;0
0201X;2013-06-06;;;;;;;;;;;;0;0;0
0201X;2013-06-07;24.8;16:10;17.3;04:40;21;25;12:10;14;14:40;0;0;0;0;0
0201X;2013-06-08;;;;;;;;;;;0;20.2;;0
0201X;2013-06-09;22.9;12:30;15.7;05:30;19.3;39;14:10;18;14:10;0;0;0;0;0
0201X;2013-06-10;23.1;17:20;16.0;05:20;19.6;23;21:50;13;22:00;0;0;0;0;0
0201X;2013-06-11;22.9;14:10;17.1;05:50;20;18;15:40;10;16:30;0;0;0;0;0
0201X;2013-06-12;26.2;15:10;18.4;06:00;22.3;27;17:20;14;16:30;0;0;0;0;0
0201X;2013-06-13;29.7;15:00;19.2;06:40;24.5;26;14:00;16;18:20;0;0;0;0;0
0201X;2013-06-14;26.6;15:00;19.9;03:00;23.3;28;18:30;14;15:50;0;0;0;0;0
0201X;2013-06-15;27.0;15:50;19.5;07:10;23.3;20;16:00;11;16:00;0;0;0;0;0
0201X;2013-06-16;27.5;16:50;19.6;05:20;23.6;18;20:00;9;12:20;0;0;0;0;0
0201X;2013-06-17;26.1;15:40;21.1;05:50;23.6;34;17:20;14;14:20;0;0;0;0;0
0201X;2013-06-18;24.4;13:10;20.8;22:10;22.6;37;18:50;15;17:50;0;0;0;0;0
0201X;2013-06-19;26.6;15:40;18.8;06:50;22.7;35;16:10;19;18:30;0.2;0.2;0;0;0
0201X;2013-06-20;25.6;16:50;18.8;05:30;22.2;35;20:00;20;20:00;0;0;0;0;0
0201X;2013-06-21;24.7;15:50;18.3;06:40;21.5;24;19:30;12;19:20;0;0;0;0;0
0201X;2013-06-22;25.7;16:30;18.5;06:10;22.1;31;17:40;15;17:40;0;0;0;0;0
0201X;2013-06-23;24.2;18:00;19.0;05:30;21.6;28;18:50;10;18:50;0.2;0;0;0;0.2
0201X;2013-06-24;22.5;14:30;17.6;06:50;20.1;30;17:00;14;15:20;0;0;0;0;0
0201X;2013-06-25;24.1;17:30;18.6;01:50;21.4;24;15:50;13;16:30;0;0;0;0;0
0201X;2013-06-26;25.7;15:10;19.0;04:30;22.4;21;17:50;9;17:50;0;0;0;0;0
0201X;2013-06-27;26.0;13:40;18.8;05:30;22.4;27;14:50;15;14:50;0;0;0;0;0
0201X;2013-06-28;26.1;14:20;20.2;05:10;23.2;36;14:30;18;15:40;0;0;0;0;0
0201X;2013-06-29;26.8;15:40;19.9;05:30;23.3;29;16:50;16;17:40;0;0;0;0;0
0201X;2013-06-30;26.2;15:30;20.3;03:20;23.3;27;16:00;14;16:00;0;0;0;0;0
0201X;2013-07-01;25.8;11:40;19.7;06:50;22.8;17;12:40;9;13:20;0;0;0;0;0
0201X;2013-07-02;24.9;14:00;19.9;04:10;22.4;19;14:30;10;15:00;0;0;0;0;0
0201X;2013-07-03;25.4;14:10;20.3;04:10;22.8;20;12:40;9;11:40;0;0;0;0;0
0201X;2013-07-04;26.1;10:10;21.6;06:30;23.9;25;12:10;12;12:10;0;0;0;0;0
0201X;2013-07-05;27.3;14:20;20.6;06:20;23.9;19;16:30;9;16:20;0;0;0;0;0
0201X;2013-07-06;28.1;11:10;22.0;05:10;25.1;17;13:30;9;15:40;0;0;0;0;0
0201X;2013-07-07;30.8;16:30;22.0;06:50;26.4;20;16:10;8;13:50;0;0;0;0;0
0201X;2013-07-08;27.8;15:10;23.8;05:10;25.8;18;12:10;9;12:10;0;0;0;0;0
0201X;2013-07-09;30.0;17:30;22.1;05:40;26.1;22;18:40;11;18:50;0;0;0;0;0
0201X;2013-07-10;30.1;13:00;22.1;06:30;26.1;31;15:10;14;15:00;0;0;0;0;0
0201X;2013-07-11;27.7;12:50;22.9;23:59;25.3;20;14:20;11;16:00;1;0;0;0.6;0.4
0201X;2013-07-12;29.5;16:10;21.5;05:40;25.5;21;19:40;10;19:00;0;0;0;0;0
0201X;2013-07-13;30.4;13:30;23.6;06:20;27;29;15:00;16;15:40;0;0;0;0;0
0201X;2013-07-14;29.6;10:40;23.6;06:40;26.6;21;14:50;9;05:00;0;0;0;0;0
0201X;2013-07-15;31.2;15:20;23.0;06:50;27.1;25;16:10;13;15:40;0;0;0;0;0
0201X;2013-07-16;32.9;14:20;23.6;06:50;28.3;34;16:10;17;15:10;0;0;0;0;0
0201X;2013-07-17;29.5;16:30;24.9;00:30;27.2;20;20:00;10;12:10;0;0;0;0;0
0201X;2013-07-18;30.7;14:50;21.1;03:50;25.9;29;03:10;15;16:30;22.2;22;0.2;0;0
0201X;2013-07-19;29.9;17:00;22.7;07:00;26.3;23;15:00;13;15:00;0;0;0;0;0
0201X;2013-07-20;28.6;16:40;22.5;06:40;25.6;23;14:50;9;19:10;0;0;0;0;0
0201X;2013-07-21;28.5;15:10;23.0;06:10;25.8;22;14:10;10;15:50;0;0;0;0;0
0201X;2013-07-22;30.0;17:00;23.4;06:50;26.7;21;16:40;10;16:40;0;0;0;0;0
0201X;2013-07-23;31.1;14:00;23.2;06:10;27.2;34;14:10;18;17:10;0;0;0;0;0
0201X;2013-07-24;31.7;12:10;23.5;06:20;27.6;29;15:20;15;13:40;0;0;0;0;0
0201X;2013-07-25;31.5;16:10;24.4;06:40;27.9;27;18:40;13;18:40;0;0;0;0;0
0201X;2013-07-26;30.3;16:20;23.0;06:30;26.6;19;20:40;9;12:00;0;0;0;0;0
0201X;2013-07-27;30.4;14:00;25.6;06:30;28;27;20:30;12;20:30;0;0;0;0;0
0201X;2013-07-28;33.9;16:00;25.2;06:00;29.6;37;16:40;20;16:40;0;0;0;0;0
0201X;2013-07-29;29.9;16:20;22.8;07:20;26.3;26;02:40;12;14:30;0.2;0.2;0;0;0
0201X;2013-07-30;29.5;16:40;23.0;06:50;26.3;34;15:40;16;15:50;0;0;0;0;0
0201X;2013-07-31;30.9;15:50;22.6;06:50;26.8;29;17:30;12;18:00;0;0;0;0;0
0201X;2013-08-01;31.0;16:40;23.3;06:20;27.1;29;13:40;16;14:00;0;0;0;0;0
0201X;2013-08-02;30.7;16:50;22.3;06:50;26.5;19;13:00;9;20:10;0;0;0;0;0
0201X;2013-08-03;28.2;11:00;23.3;07:00;25.8;31;14:00;11;14:00;0;0;0;0;0
0201X;2013-08-04;29.9;14:40;23.3;05:50;26.6;15;14:50;8;18:00;0;0;0;0;0
0201X;2013-08-05;31.6;16:50;22.0;07:00;26.8;28;17:10;14;14:40;0;0;0;0;0
0201X;2013-08-06;29.8;15:20;24.5;06:40;27.1;22;11:50;10;14:00;0;0;0;0;0
0201X;2013-08-07;29.3;13:30;25.0;21:50;27.1;21;13:00;11;12:40;0;0;0;0;0
0201X;2013-08-08;27.9;16:30;20.4;07:20;24.1;23;04:00;14;07:40;1.6;1.6;0;0;0
0201X;2013-08-09;29.7;16:20;21.5;07:30;25.6;31;17:30;18;20:00;0;0;0;0;0
0201X;2013-08-10;28.7;17:10;23.0;07:10;25.9;20;00:50;9;00:20;0;0;0;0;0
0201X;2013-08-11;30.8;17:00;22.0;07:00;26.4;30;13:50;16;16:20;0;0;0;0;0
0201X;2013-08-12;31.6;14:20;21.8;06:50;26.7;28;17:10;13;17:10;0;0;0;0;0
0201X;2013-08-13;30.4;15:00;24.2;07:00;27.3;22;04:20;12;04:20;0;0;0;0;0
0201X;2013-08-14;30.5;13:40;23.6;06:00;27.1;43;15:00;23;15:00;0;0;0;0;0
0201X;2013-08-15;;;;;;;;;;;;;;
0201X;2013-08-16;30.2;13:00;23.5;06:10;26.9;28;14:40;15;14:40;0;0;0;0;0
0201X;2013-08-17;28.2;15:20;23.8;23:50;26;26;11:50;10;11:50;0;0;0;0;0
0201X;2013-08-18;29.9;16:20;22.9;03:10;26.4;30;14:30;16;14:30;0;0;0;0;0
0201X;2013-08-19;30.4;15:00;23.9;07:20;27.1;26;14:00;14;14:00;0;0;0;0;0
0201X;2013-08-20;30.1;15:40;24.3;05:10;27.2;31;15:50;17;16:30;0;0;0;0;0
0201X;2013-08-21;29.1;14:50;22.5;06:30;25.8;21;14:20;8;10:50;0;0;0;0;0
0201X;2013-08-22;29.2;15:00;23.4;07:00;26.3;32;13:50;15;13:50;0;0;0;0;0
0201X;2013-08-23;29.4;15:50;23.3;07:10;26.3;22;12:50;10;12:50;0;0;0;0;0
0201X;2013-08-24;28.2;16:00;23.1;07:40;25.7;23;19:40;10;18:50;0;0;0;0;0
0201X;2013-08-25;26.0;17:00;20.3;10:20;23.1;28;15:50;14;16:20;1.6;1.6;0;0;0
0201X;2013-08-26;22.5;00:00;20.3;19:40;21.4;23;13:00;10;10:30;3;0;2.8;0.2;0
0201X;2013-08-27;26.8;15:20;19.3;05:20;23;31;16:50;15;16:40;0;0;0;0;0
0201X;2013-08-28;27.0;14:40;21.3;06:50;24.1;34;18:20;16;18:40;0;0;0;0;0
0201X;2013-08-29;27.7;15:00;21.3;00:00;24.5;21;16:00;10;16:50;0.2;0;0.2;0;0
0201X;2013-08-30;29.6;16:10;21.6;06:50;25.6;23;17:40;12;17:20;0;0;0;0;0
0201X;2013-08-31;29.2;15:30;21.9;05:40;25.6;32;16:30;17;17:20;0;0;0;0;0
0201X;2013-09-01;28.0;16:10;21.7;07:30;24.9;20;17:50;9;15:00;0;0;0;0;0
0201X;2013-09-02;27.7;16:10;20.8;07:10;24.3;18;16:30;8;18:40;0;0;0;0;0
0201X;2013-09-03;27.1;12:30;19.9;07:40;23.5;22;14:10;11;14:40;0;0;0;0;0
0201X;2013-09-04;27.0;12:10;21.1;06:20;24.1;19;14:10;9;14:10;;0;0;0;
0201X;2013-09-05;28.4;12:10;20.4;07:20;24.4;21;18:50;9;16:30;0;0;0;0;0
0201X;2013-09-06;27.9;15:10;21.1;07:40;24.5;30;14:40;15;16:30;0;0;0;0;0
0201X;2013-09-07;27.8;13:50;20.2;18:20;24;32;16:10;15;16:10;12;0;0;11.8;0.2
0201X;2013-09-08;25.5;15:30;19.9;06:40;22.7;27;21:00;11;20:50;1.2;0;0;0;1.2
0201X;2013-09-09;25.0;15:40;20.3;03:30;22.6;24;12:30;10;13:10;0;0;0;0;0
0201X;2013-09-10;27.1;13:00;19.8;06:10;23.4;23;19:20;11;19:10;2;0;0;0;2
0201X;2013-09-11;21.6;00:00;17.1;12:10;19.4;29;00:30;13;00:30;4.2;0;3.6;0.6;0
0201X;2013-09-12;24.4;16:30;18.0;05:20;21.2;25;13:30;12;13:40;0;0;0;0;0
0201X;2013-09-13;25.8;17:00;18.6;04:40;22.2;23;18:00;10;18:00;0;0;0;0;0
0201X;2013-09-14;27.5;13:20;19.3;07:10;23.4;45;16:30;24;16:40;0;0;0;0;0
0201X;2013-09-15;23.3;00:00;19.4;14:50;21.3;30;09:30;13;12:00;0.8;0;0;0.8;0
0201X;2013-09-16;27.4;16:00;18.9;08:00;23.1;36;18:30;18;18:00;0;0;0;0;0
0201X;2013-09-17;23.6;15:50;20.0;12:50;21.8;21;06:00;9;04:50;1.4;0;0.2;0.6;0.6
0201X;2013-09-18;26.0;15:00;19.0;08:00;22.5;26;15:20;13;13:30;0;0;0;0;0
0201X;2013-09-19;25.5;14:40;19.3;04:40;22.4;31;16:00;15;15:00;0;0;0;0;0
0201X;2013-09-20;27.3;17:20;19.2;07:30;23.3;23;15:30;12;19:00;0;0;0;0;0
0201X;2013-09-21;26.8;15:20;20.4;01:40;23.6;26;14:50;13;15:40;0;0;0;0;0
0201X;2013-09-22;25.9;16:00;19.0;07:40;22.4;19;15:20;9;14:50;0;0;0;0;0
0201X;2013-09-23;25.0;14:30;18.2;07:20;21.6;17;12:30;8;13:00;0;0;0;0;0
0201X;2013-09-24;26.5;14:50;19.4;07:30;22.9;26;13:40;14;16:40;0;0;0;0;0
0201X;2013-09-25;27.3;17:20;20.6;08:00;23.9;35;14:40;19;13:40;0;0;0;0;0
0201X;2013-09-26;;;;;;;;;;;0;0;;
0201X;2013-09-27;28.1;12:20;19.8;07:00;23.9;20;13:10;12;13:10;0;0;0;0;0
0201X;2013-09-28;26.0;16:00;22.3;05:50;24.1;35;16:10;16;16:10;0;0;0;0;0
0201X;2013-09-29;30.4;16:30;21.8;23:50;26.1;28;16:10;14;14:20;0;0;0;0;0
0201X;2013-09-30;30.0;16:20;20.0;07:50;25;29;17:20;17;17:00;0;0;0;0;0
0201X;2013-10-01;29.8;17:00;20.8;06:50;25.3;35;17:10;21;17:50;0;0;0;0;0
0201X;2013-10-02;26.3;12:50;22.3;03:50;24.3;21;13:50;9;15:00;0;0;0;0;0
0201X;2013-10-03;25.5;13:30;23.0;01:50;24.3;31;17:30;15;20:30;0;0;0;0;0
0201X;2013-10-04;24.4;12:20;19.4;23:20;21.9;33;12:40;15;19:20;11.8;2.4;0.2;0.4;8.8
0201X;2013-10-05;26.6;14:30;18.4;02:40;22.5;27;15:50;15;15:20;0;0;0;0;0
0201X;2013-10-06;24.2;14:30;19.0;08:10;21.6;28;17:50;12;18:00;0;0;0;0;0
0201X;2013-10-07;24.4;16:00;16.8;07:20;20.6;23;16:30;13;17:20;22;22;0;0;0
0201X;2013-10-08;23.8;16:40;18.0;05:40;20.9;19;16:30;10;16:50;0;0;0;0;0
0201X;2013-10-09;21.8;13:00;18.9;08:40;20.3;21;17:20;10;17:10;0.2;0;0;0.2;0
0201X;2013-10-10;21.7;15:20;17.4;08:30;19.6;28;23:10;11;22:50;0;0;0;0;0
0201X;2013-10-11;17.5;00:00;11.8;15:30;14.7;31;10:40;12;10:20;3.4;0;1.4;2;0
0201X;2013-10-12;20.2;16:00;13.2;08:20;16.7;20;15:50;10;16:10;0;0;0;0;0
0201X;2013-10-13;21.8;15:50;15.0;06:20;18.4;17;15:40;8;15:40;0;0;0;0;0
0201X;2013-10-14;23.8;16:30;15.9;08:20;19.8;25;16:10;10;18:00;0;0;0;0;0
0201X;2013-10-15;26.2;16:00;18.1;07:40;22.2;31;16:20;12;14:30;0;0;0;0;0
0201X;2013-10-16;24.8;14:20;18.4;06:00;21.6;17;16:20;7;16:10;0;0;0;0;0
0201X;2013-10-17;23.3;17:50;19.9;23:59;21.6;14;16:00;7;16:00;0;0;0;0;0
0201X;2013-10-18;26.1;14:50;19.0;06:30;22.6;31;15:20;16;15:20;0;0;0;0;0
0201X;2013-10-19;24.9;15:10;20.0;05:40;22.4;18;15:50;9;15:50;0;0;0;0;0
0201X;2013-10-20;25.9;14:00;19.6;08:20;22.8;25;14:10;13;15:30;0;0;0;0;0
0201X;2013-10-21;25.2;16:00;18.9;07:40;22.1;23;14:50;13;14:40;0;0;0;0;0
0201X;2013-10-22;25.4;15:40;19.9;07:10;22.6;28;15:10;15;14:20;0;0;0;0;0
0201X;2013-10-23;26.8;17:20;20.2;06:20;23.5;28;16:00;15;15:30;1.2;1.2;0;0;0
0201X;2013-10-24;24.1;15:00;17.3;08:10;20.7;20;17:30;9;17:30;0;0;0;0;0
0201X;2013-10-25;24.4;15:30;19.5;05:30;21.9;22;16:10;9;16:10;0;0;0;0;0
0201X;2013-10-26;24.2;13:10;20.5;07:40;22.4;28;12:20;12;16:00;0;0;0;0;0
0201X;2013-10-27;;;;;;;;;;;;0;0;0
0201X;2013-10-28;25.7;14:40;19.4;06:50;22.6;32;19:10;17;13:10;0;0;0;0;0
0201X;2013-10-29;20.2;00:20;15.0;15:30;17.6;20;02:00;9;01:50;2.4;0.4;0;2;0
0201X;2013-10-30;17.0;16:10;13.4;08:00;15.2;13;01:10;6;01:00;0;0;0;0;0
0201X;2013-10-31;;;;;;;;;;;0;;0;0
0201X;2013-11-01;;;;;;;;;;;0;;;
0201X;2013-11-02;;;;;;;;;;;0;0;;0
0201X;2013-11-03;20.3;11:00;16.6;05:30;18.4;23;11:10;10;11:40;0;0;0;0;0
0201X;2013-11-04;19.7;16:00;15.1;05:00;17.4;39;18:00;18;18:00;0;0;0;0;0
0201X;2013-11-05;;;;;;;;;;;0;0;0;
0201X;2013-11-06;21.2;14:20;16.8;01:20;19;26;03:40;12;04:30;0;0;0;0;0
0201X;2013-11-07;20.5;13:50;15.4;06:10;17.9;14;11:00;6;15:00;0;0;0;0;0
0201X;2013-11-08;24.6;14:40;16.1;03:20;20.4;26;08:40;12;08:40;0;0;0;0;0
0201X;2013-11-09;18.6;14:50;15.5;22:40;17.1;30;23:59;12;23:20;0;0;0;0;0
0201X;2013-11-10;21.5;14:40;13.6;05:50;17.6;32;00:10;13;00:10;0;0;0;0;0
0201X;2013-11-11;18.5;14:30;13.6;06:50;16.1;19;12:40;8;12:40;0;0;0;0;0
0201X;2013-11-12;21.4;14:30;11.9;07:40;16.6;21;14:30;10;14:40;0;0;0;0;0
0201X;2013-11-13;20.8;15:10;15.7;08:30;18.2;14;16:40;6;17:30;0;0;0;0;0
0201X;2013-11-14;20.3;13:50;13.3;07:50;16.8;23;14:30;12;14:30;0;0;0;0;0
0201X;2013-11-15;16.4;14:20;10.5;07:40;13.4;21;01:20;10;01:20;0;0;0;0;0
0201X;2013-11-16;14.1;16:30;9.8;02:10;12;46;10:10;19;09:30;22.8;0;10;3.6;9.2
0201X;2013-11-17;15.2;15:10;12.6;05:50;13.9;36;20:20;15;20:20;31.6;8.8;4.8;4.6;13.4
0201X;2013-11-18;15.3;13:50;12.4;21:10;13.8;42;01:10;16;01:10;35.4;6.4;6;14.8;8.2
0201X;2013-11-19;18.5;14:10;12.3;06:10;15.4;29;02:20;12;13:50;0.2;0.2;0;0;0
0201X;2013-11-20;13.6;14:20;8.9;21:00;11.3;33;12:40;13;05:10;0;0;0;0;0
0201X;2013-11-22;14.0;14:10;7.3;05:40;10.7;31;18:10;12;13:00;0;0;0;0;0
0201X;2013-11-23;12.4;14:40;5.8;07:10;9.1;18;05:10;9;07:50;0;0;0;0;0
0201X;2013-11-24;14.9;14:40;7.5;02:10;11.2;24;16:10;10;15:20;0;0;0;0;0
0201X;2013-11-25;13.8;15:50;7.3;05:50;10.6;20;13:10;8;01:10;0;0;0;0;0
0201X;2013-11-26;13.0;14:40;6.6;07:40;9.8;15;10:10;8;13:30;;;0;0;0
0201X;2013-11-27;10.8;14:50;5.4;07:00;8.1;41;17:20;12;15:00;0;0;0;0;0
0201X;2013-11-28;12.0;15:40;6.1;08:00;9;22;02:50;10;16:30;0;0;0;0;0
0201X;2013-11-29;10.9;16:00;5.1;06:50;8;16;01:50;8;23:20;0;0;0;0;0
0201X;2013-11-30;9.7;14:10;6.3;00:40;8;37;16:50;12;16:50;0;0;0;0;0
0201X;2013-12-01;14.1;14:30;6.7;00:20;10.4;24;13:10;10;13:10;0;0;0;0;0
0201X;2013-12-02;11.8;23:20;7.2;07:20;9.5;19;10:00;9;09:50;0;0;0;0;0
0201X;2013-12-03;15.9;14:10;10.9;02:10;13.4;18;13:20;7;13:30;0;0;0;0;0
0201X;2013-12-04;15.8;16:10;7.4;06:30;11.6;23;22:20;12;22:20;0;0;0;0;0
0201X;2013-12-05;16.3;15:00;9.1;04:40;12.7;25;10:20;13;09:20;0;0;0;0;0
0201X;2013-12-06;13.4;15:00;7.5;08:10;10.4;20;04:10;12;04:10;0;0;0;0;0
0201X;2013-12-07;15.2;14:50;6.6;08:40;10.9;18;00:50;11;02:50;0;0;0;0;0
0201X;2013-12-08;13.4;15:10;8.8;00:30;11.1;12;02:50;6;13:10;0;0;0;0;0
0201X;2013-12-09;14.6;14:50;8.0;07:50;11.3;18;16:00;11;16:00;0;0;0;0;0
0201X;2013-12-10;;;;;;;;;;;0;;0;0
0201X;2013-12-11;14.9;15:40;10.4;23:50;12.6;16;16:30;9;16:30;0;0;0;0;0
0201X;2013-12-12;16.1;14:40;8.5;06:30;12.3;17;15:00;8;14:50;0;0;0;0;0
0201X;2013-12-13;12.2;15:00;6.6;07:30;9.4;12;17:20;6;18:10;0;0;0;0;0
0201X;2013-12-14;15.4;14:50;7.2;00:40;11.3;17;23:59;9;23:59;0;0;0;0;0
0201X;2013-12-15;14.4;14:00;9.4;02:50;11.9;27;06:40;15;06:50;0;0;0;0;0
0201X;2013-12-16;14.0;15:30;10.2;01:30;12.1;19;19:30;8;10:30;0;0;0;0;0
0201X;2013-12-17;14.8;13:00;11.5;23:50;13.2;10;12:20;5;10:40;0;0;0;0;0
0201X;2013-12-18;15.9;14:20;9.5;07:30;12.7;19;19:20;10;13:50;0;0;0;0;0
0201X;2013-12-19;13.0;11:20;11.0;07:00;12;11;00:10;6;04:30;6.4;0;0.2;3.4;2.8
0201X;2013-12-20;;;;;;;;;;;5.2;0.2;0;
0201X;2013-12-21;;;;;;;;;;;;;;
0201X;2013-12-22;;;;;;;;;;;;;;
0201X;2013-12-23;;;;;;;;;;;;;;
0201X;2013-12-24;;;;;;;;;;;;;;
0201X;2013-12-25;;;;;;;;;;;;;;
0201X;2013-12-26;;;;;;;;;;;;;;
0201X;2013-12-27;;;;;;;;;;;;;;
0201X;2013-12-28;;;;;;;;;;;;;;
0201X;2013-12-29;;;;;;;;;;;;;;
0201X;2013-12-30;;;;;;;;;;;;;;
0201X;2013-12-31;;;;;;;;;;;;;;
0201X;2014-01-01;;;;;;;;;;;;;;
0201X;2014-01-02;;;;;;;;;;;;;;
0201X;2014-01-03;;;;;;;;;;;;;;
0201X;2014-01-04;;;;;;;;;;;;;;
0201X;2014-01-05;;;;;;;;;;;;;;
0201X;2014-01-06;;;;;;;;;;;;;;
0201X;2014-01-07;;;;;;;;;;;;;0;0
0201X;2014-01-08;14.1;15:40;9.0;05:20;11.6;12;15:30;6;13:00;0;0;0;0;0
0201X;2014-01-09;13.8;14:30;6.9;07:40;10.4;18;15:20;9;12:00;0;0;0;0;0
0201X;2014-01-10;12.2;13:40;10.0;03:50;11.1;17;12:00;6;11:50;;0;;0;0
0201X;2014-01-11;14.1;12:40;11.2;02:00;12.7;19;13:10;7;12:50;0;0;0;0;0
0201X;2014-01-12;16.1;15:20;11.6;22:30;13.9;17;15:30;9;16:10;4;4;0;0;0
0201X;2014-01-13;14.7;14:00;10.0;23:59;12.3;28;19:00;12;21:10;1.2;0;0.4;0.4;0.4
0201X;2014-01-14;13.7;15:50;8.0;08:40;10.8;27;15:30;12;15:10;0;0;0;0;0
0201X;2014-01-15;13.4;15:50;8.3;08:10;10.8;21;16:20;10;16:20;0;0;0;0;0
0201X;2014-01-16;;;;;;;;;;;0;0;0;
0201X;2014-01-17;;;;;;;;;;;;;;
0201X;2014-01-18;;;;;;;;;;;;;;
0201X;2014-01-19;;;;;;;;;;;;;;
0201X;2014-01-20;;;;;;;;;;;;;;
0201X;2014-01-21;;;;;;;;;;;;;;
0201X;2014-01-22;;;;;;;;;;;;;;
0201X;2014-01-23;;;;;;;;;;;;;0;0
0201X;2014-01-24;15.7;16:40;9.2;00:00;12.4;30;19:10;13;19:00;0;0;0;0;0
0201X;2014-01-25;14.4;15:10;11.4;01:20;12.9;15;23:59;8;10:30;0;0;0;0;0
0201X;2014-01-26;18.1;15:20;10.5;03:20;14.3;27;11:50;14;01:00;0;0;0;0;0
0201X;2014-01-27;17.7;15:00;10.4;23:50;14.1;43;19:50;18;17:00;0;0;0;0;0
0201X;2014-01-28;12.7;16:00;7.2;08:10;9.9;33;10:00;13;00:50;0;0;0;0;0
0201X;2014-01-29;14.7;13:30;6.4;07:20;10.5;21;14:20;11;14:20;14.2;0;0;0;14.2
0201X;2014-01-30;13.3;16:40;7.4;10:30;10.4;23;13:40;12;10:30;7.4;7.2;0.2;0;0
0201X;2014-01-31;12.4;15:10;6.3;07:40;9.3;21;03:40;11;05:20;0;0;0;0;0
0201X;2014-02-01;11.5;17:20;8.1;04:30;9.8;16;23:20;6;18:30;0.8;0;0;0.8;0
0201X;2014-02-02;14.6;15:10;6.2;09:20;10.4;25;16:00;14;16:00;0;0;0;0;0
0201X;2014-02-03;13.4;13:40;6.3;06:30;9.8;31;15:00;16;14:40;0;0;0;0;0
0201X;2014-02-04;14.9;15:00;6.9;06:00;10.9;34;16:10;19;15:50;0;0;0;0;0
0201X;2014-02-05;18.0;14:50;10.7;02:00;14.3;47;00:20;23;00:20;0;0;0;0;0
0201X;2014-02-06;16.9;14:50;9.4;05:50;13.1;32;16:10;16;16:10;;0;;0;0
0201X;2014-02-07;17.6;15:00;11.4;23:30;14.5;32;10:30;14;14:30;0;0;0;0;0
0201X;2014-02-08;16.4;14:30;11.4;02:30;13.9;37;15:10;19;14:10;0;0;0;0;0
0201X;2014-02-09;14.0;00:00;9.1;22:20;11.6;32;04:20;13;04:20;9;0;0;0;9
0201X;2014-02-10;13.8;11:20;8.6;01:20;11.2;30;22:00;15;21:20;4;4;0;0;0
